Case_Study,Solver,Method,Num_Rep_Periods,Seed,Time_To_Build_Model,Objective_Function_Value,Num_Variables,Num_Constraints,Num_Constraints_Excluding_Bounds,Solve_Time
Asset-to-asset,Gurobi.Optimizer,Barrier,672,83572,0.4504532,248000000,21516,47054,29568,0.311000109
Asset-to-asset,Gurobi.Optimizer,Barrier,672,17154,0.7143855,248000000,21516,47054,29568,0.34800005
Asset-to-asset,Gurobi.Optimizer,Barrier,672,39567,0.7463619,248000000,21516,47054,29568,0.31099987
Asset-to-asset,Gurobi.Optimizer,Barrier,672,67595,0.3949859,248000000,21516,47054,29568,0.316999912
Asset-to-asset,Gurobi.Optimizer,Barrier,672,37763,0.3927407,248000000,21516,47054,29568,0.326999903
Asset-to-asset,Gurobi.Optimizer,Barrier,672,3605,0.7076529,248000000,21516,47054,29568,0.296999931
Asset-to-asset,Gurobi.Optimizer,Barrier,672,8,0.4046822,248000000,21516,47054,29568,0.332000017
Asset-to-asset,Gurobi.Optimizer,Barrier,672,19545,0.4251497,248000000,21516,47054,29568,0.30700016
Asset-to-asset,Gurobi.Optimizer,Barrier,672,42849,0.6843294,248000000,21516,47054,29568,0.311000109
Asset-to-asset,Gurobi.Optimizer,Barrier,672,36965,0.6643799,248000000,21516,47054,29568,0.350000143
Asset-to-asset,Gurobi.Optimizer,Barrier,4380,83572,3.5292669,355000000,129036,282254,177408,6.199999809
Asset-to-asset,Gurobi.Optimizer,Barrier,4380,17154,2.7559772,355000000,129036,282254,177408,5.780999899
Asset-to-asset,Gurobi.Optimizer,Barrier,4380,39567,3.8980408,355000000,129036,282254,177408,5.652999878
Asset-to-asset,Gurobi.Optimizer,Barrier,4380,67595,3.3033231,355000000,129036,282254,177408,5.190999985
Asset-to-asset,Gurobi.Optimizer,Barrier,4380,37763,3.8263161,355000000,129036,282254,177408,6.029999971
Asset-to-asset,Gurobi.Optimizer,Barrier,4380,3605,3.4899375,355000000,129036,282254,177408,5.930999994
Asset-to-asset,Gurobi.Optimizer,Barrier,4380,8,3.3937332,355000000,129036,282254,177408,5.741999865
Asset-to-asset,Gurobi.Optimizer,Barrier,4380,19545,3.4370043,355000000,129036,282254,177408,5.855999947
Asset-to-asset,Gurobi.Optimizer,Barrier,4380,42849,3.0285622,355000000,129036,282254,177408,5.463999987
Asset-to-asset,Gurobi.Optimizer,Barrier,4380,36965,3.4872866,355000000,129036,282254,177408,5.906999826
Asset-to-asset,Gurobi.Optimizer,Barrier,8760,83572,7.2053231,610000000,280332,613214,385440,18.96099997
Asset-to-asset,Gurobi.Optimizer,Barrier,8760,17154,7.6139571,610000000,280332,613214,385440,16.60300016
Asset-to-asset,Gurobi.Optimizer,Barrier,8760,39567,7.3672458,610000000,280332,613214,385440,31.53800011
Asset-to-asset,Gurobi.Optimizer,Barrier,8760,67595,7.4841191,610000000,280332,613214,385440,19.49600005
Asset-to-asset,Gurobi.Optimizer,Barrier,8760,37763,7.4373938,610000000,280332,613214,385440,18.78000021
Asset-to-asset,Gurobi.Optimizer,Barrier,8760,3605,7.9654833,610000000,280332,613214,385440,23.41600013
Asset-to-asset,Gurobi.Optimizer,Barrier,8760,8,8.161875,610000000,280332,613214,385440,16.30299997
Asset-to-asset,Gurobi.Optimizer,Barrier,8760,19545,6.9750046,610000000,280332,613214,385440,23.52399993
Asset-to-asset,Gurobi.Optimizer,Barrier,8760,42849,8.5003737,610000000,280332,613214,385440,14.10599995
Asset-to-asset,Gurobi.Optimizer,Barrier,8760,36965,7.8092076,610000000,280332,613214,385440,23.12599993
Asset-to-asset,Gurobi.Optimizer,Barrier,17520,83572,16.8214839,1050000000,560652,1226414,770880,124.5038641
Asset-to-asset,Gurobi.Optimizer,Barrier,17520,17154,15.8795969,1050000000,560652,1226414,770880,159.4504745
Asset-to-asset,Gurobi.Optimizer,Barrier,17520,39567,14.7217327,1050000000,560652,1226414,770880,152.914743
Asset-to-asset,Gurobi.Optimizer,Barrier,17520,67595,14.9410583,1050000000,560652,1226414,770880,123.219453
Asset-to-asset,Gurobi.Optimizer,Barrier,17520,37763,16.8144125,1050000000,560652,1226414,770880,123.9756432
Asset-to-asset,Gurobi.Optimizer,Barrier,17520,3605,15.8882467,1050000000,560652,1226414,770880,70.69265738
Asset-to-asset,Gurobi.Optimizer,Barrier,17520,8,16.2087187,1050000000,560652,1226414,770880,145.6876905
Asset-to-asset,Gurobi.Optimizer,Barrier,17520,19545,16.2953603,1050000000,560652,1226414,770880,117.8717554
Asset-to-asset,Gurobi.Optimizer,Barrier,17520,42849,16.0562338,1050000000,560652,1226414,770880,107.9115451
Asset-to-asset,Gurobi.Optimizer,Barrier,17520,36965,16.0735879,1050000000,560652,1226414,770880,115.1979065
Asset-to-asset,Gurobi.Optimizer,Barrier,26280,83572,27.7835006,1480000000,840972,1839614,1156320,188.2509999
Asset-to-asset,Gurobi.Optimizer,Barrier,26280,17154,34.241604,1480000000,840972,1839614,1156320,184.8339999
Asset-to-asset,Gurobi.Optimizer,Barrier,26280,39567,32.8625787,1480000000,840972,1839614,1156320,220.223
Asset-to-asset,Gurobi.Optimizer,Barrier,26280,67595,26.7611927,1480000000,840972,1839614,1156320,153.3440001
Asset-to-asset,Gurobi.Optimizer,Barrier,26280,37763,35.2686538,1480000000,840972,1839614,1156320,180.7709999
Asset-to-asset,Gurobi.Optimizer,Barrier,26280,3605,34.9171732,1480000000,840972,1839614,1156320,143.8709998
Asset-to-asset,Gurobi.Optimizer,Barrier,26280,8,31.9814788,1480000000,840972,1839614,1156320,205.721
Asset-to-asset,Gurobi.Optimizer,Barrier,26280,19545,33.3641987,1480000000,840972,1839614,1156320,146.7030001
Asset-to-asset,Gurobi.Optimizer,Barrier,26280,42849,32.6556125,1480000000,840972,1839614,1156320,113.22
Asset-to-asset,Gurobi.Optimizer,Barrier,26280,36965,33.5498238,1480000000,840972,1839614,1156320,148.5480001
Asset-to-asset,Gurobi.Optimizer,Barrier,35040,83572,74.6605822,1890000000,1121292,2452814,1541760,135.931
Asset-to-asset,Gurobi.Optimizer,Barrier,35040,17154,63.776843,1890000000,1121292,2452814,1541760,128.2349999
Asset-to-asset,Gurobi.Optimizer,Barrier,35040,39567,64.085827,1890000000,1121292,2452814,1541760,142.7069998
Asset-to-asset,Gurobi.Optimizer,Barrier,35040,67595,66.5015301,1890000000,1121292,2452814,1541760,140.1170001
Asset-to-asset,Gurobi.Optimizer,Barrier,35040,37763,65.6268667,1890000000,1121292,2452814,1541760,131.273
Asset-to-asset,Gurobi.Optimizer,Barrier,35040,3605,64.7406411,1890000000,1121292,2452814,1541760,143.984
Asset-to-asset,Gurobi.Optimizer,Barrier,35040,8,65.0850766,1890000000,1121292,2452814,1541760,137.8559999
Asset-to-asset,Gurobi.Optimizer,Barrier,35040,19545,68.4525636,1890000000,1121292,2452814,1541760,146.1269999
Asset-to-asset,Gurobi.Optimizer,Barrier,35040,42849,65.504817,1890000000,1121292,2452814,1541760,114.1200001
Asset-to-asset,Gurobi.Optimizer,Barrier,35040,36965,65.3934312,1890000000,1121292,2452814,1541760,129.76
Nodes-1flow,Gurobi.Optimizer,Barrier,672,83572,0.5300211,248000000,24876,55790,37632,0.669000149
Nodes-1flow,Gurobi.Optimizer,Barrier,672,17154,0.5053526,248000000,24876,55790,37632,0.370000124
Nodes-1flow,Gurobi.Optimizer,Barrier,672,39567,0.4840508,248000000,24876,55790,37632,0.379999876
Nodes-1flow,Gurobi.Optimizer,Barrier,672,67595,0.7662655,248000000,24876,55790,37632,0.373999834
Nodes-1flow,Gurobi.Optimizer,Barrier,672,37763,0.8307229,248000000,24876,55790,37632,0.405999899
Nodes-1flow,Gurobi.Optimizer,Barrier,672,3605,0.4727435,248000000,24876,55790,37632,0.380000114
Nodes-1flow,Gurobi.Optimizer,Barrier,672,8,0.8132915,248000000,24876,55790,37632,0.368000031
Nodes-1flow,Gurobi.Optimizer,Barrier,672,19545,0.4811966,248000000,24876,55790,37632,0.358999968
Nodes-1flow,Gurobi.Optimizer,Barrier,672,42849,0.5473668,248000000,24876,55790,37632,0.390000105
Nodes-1flow,Gurobi.Optimizer,Barrier,672,36965,0.7790887,248000000,24876,55790,37632,0.359999895
Nodes-1flow,Gurobi.Optimizer,Barrier,4380,83572,4.7145047,355000000,149196,334670,225792,6.252000093
Nodes-1flow,Gurobi.Optimizer,Barrier,4380,17154,3.6309544,355000000,149196,334670,225792,6.332999945
Nodes-1flow,Gurobi.Optimizer,Barrier,4380,39567,4.8611184,355000000,149196,334670,225792,6.888999939
Nodes-1flow,Gurobi.Optimizer,Barrier,4380,67595,4.3682639,355000000,149196,334670,225792,6.680999994
Nodes-1flow,Gurobi.Optimizer,Barrier,4380,37763,4.4030891,355000000,149196,334670,225792,6.468999863
Nodes-1flow,Gurobi.Optimizer,Barrier,4380,3605,4.525782,355000000,149196,334670,225792,34.93299985
Nodes-1flow,Gurobi.Optimizer,Barrier,4380,8,4.0104329,355000000,149196,334670,225792,6.390000105
Nodes-1flow,Gurobi.Optimizer,Barrier,4380,19545,4.237144,355000000,149196,334670,225792,6.309999943
Nodes-1flow,Gurobi.Optimizer,Barrier,4380,42849,4.067846,355000000,149196,334670,225792,6.396000147
Nodes-1flow,Gurobi.Optimizer,Barrier,4380,36965,4.3011392,355000000,149196,334670,225792,6.312999964
Nodes-1flow,Gurobi.Optimizer,Barrier,8760,83572,8.9685386,610000000,324132,727094,490560,23.76699996
Nodes-1flow,Gurobi.Optimizer,Barrier,8760,17154,9.6750562,610000000,324132,727094,490560,43.10300016
Nodes-1flow,Gurobi.Optimizer,Barrier,8760,39567,8.8863446,610000000,324132,727094,490560,156.4689999
Nodes-1flow,Gurobi.Optimizer,Barrier,8760,67595,9.2173239,610000000,324132,727094,490560,24.9059999
Nodes-1flow,Gurobi.Optimizer,Barrier,8760,37763,8.7561448,610000000,324132,727094,490560,69.49099994
Nodes-1flow,Gurobi.Optimizer,Barrier,8760,3605,9.0086772,610000000,324132,727094,490560,21.15799999
Nodes-1flow,Gurobi.Optimizer,Barrier,8760,8,9.1169728,610000000,324132,727094,490560,80.07399988
Nodes-1flow,Gurobi.Optimizer,Barrier,8760,19545,9.064825,610000000,324132,727094,490560,56.0710001
Nodes-1flow,Gurobi.Optimizer,Barrier,8760,42849,9.1273195,610000000,324132,727094,490560,22.57800007
Nodes-1flow,Gurobi.Optimizer,Barrier,8760,36965,9.2223921,610000000,324132,727094,490560,22.04699993
Nodes-1flow,Gurobi.Optimizer,Barrier,17520,83572,19.1319536,1050000000,648252,1454174,981120,171.451
Nodes-1flow,Gurobi.Optimizer,Barrier,17520,17154,20.2857859,1050000000,648252,1454174,981120,174.6029999
Nodes-1flow,Gurobi.Optimizer,Barrier,17520,39567,21.2433346,1050000000,648252,1454174,981120,177.085
Nodes-1flow,Gurobi.Optimizer,Barrier,17520,67595,20.0906986,1050000000,648252,1454174,981120,189.2289999
Nodes-1flow,Gurobi.Optimizer,Barrier,17520,37763,19.8136845,1050000000,648252,1454174,981120,166.5779998
Nodes-1flow,Gurobi.Optimizer,Barrier,17520,3605,19.3985674,1050000000,648252,1454174,981120,146.6690001
Nodes-1flow,Gurobi.Optimizer,Barrier,17520,8,20.2012666,1050000000,648252,1454174,981120,147.6330001
Nodes-1flow,Gurobi.Optimizer,Barrier,17520,19545,19.4667888,1050000000,648252,1454174,981120,156.7850001
Nodes-1flow,Gurobi.Optimizer,Barrier,17520,42849,19.8746601,1050000000,648252,1454174,981120,138.309
Nodes-1flow,Gurobi.Optimizer,Barrier,17520,36965,19.8575061,1050000000,648252,1454174,981120,156.1240001
Nodes-1flow,Gurobi.Optimizer,Barrier,26280,83572,53.6792419,1480000000,972372,2181254,1471680,212.3310001
Nodes-1flow,Gurobi.Optimizer,Barrier,26280,17154,55.2720184,1480000000,972372,2181254,1471680,228.549
Nodes-1flow,Gurobi.Optimizer,Barrier,26280,39567,54.9864636,1480000000,972372,2181254,1471680,157.2869999
Nodes-1flow,Gurobi.Optimizer,Barrier,26280,67595,53.8948607,1480000000,972372,2181254,1471680,159.25
Nodes-1flow,Gurobi.Optimizer,Barrier,26280,37763,55.1027008,1480000000,972372,2181254,1471680,212.796
